time	source	coord
2016-04-27	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20160429-nz09-088097.pdf	[[-90.0,-30.0],[-90.0,-60.0],[-175.0,-60.0],[-175.0,-30.0],[-90.0,-30.0]]
2016-02-07	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20160205-nz03-027036.pdf	[[-126.02,-57.48],[-122.08,-60.39],[162.56,-62.55],[165.82,-59.71],[-126.02,-57.48]]
2016-02-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20160219-nz04-037043.pdf	[[-131.0,-30.0],[-131.0,-50.0],[-160.0,-53.0],[-171.0,-46.0],[-174.0,-42.0],[-162.0,-35.0],[-145.0,-30.0],[-131.0,-30.0]]
2016-01-20	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20160122-nz02-022026.pdf	[[-92.0,-7.0],[-92.0,-9.0],[-112.0,-15.0],[-134.0,-19.0],[-134.0,-17.0],[-112.0,-13.0],[-92.0,-7.0]]
2015-09-28	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20151002-nz20-190203_0.pdf	[[-94.0,-11.0],[-94.0,-13.0],[-134.0,-16.0],[-134.0,-14.0],[-94.0,-11.0]]
2015-08-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20150821-nz17-166169_0.pdf	[[-106.0,-46.0],[-106.0,-53.0],[-155.0,-53.0],[-167.0,-48.45],[-167.0,-46.0],[-106.0,-46.0]]
2015-06-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20150626-nz13-135144_0.pdf	[[77.63333333333334,-16.683333333333334],[111.25,-41.63333333333333],[163.58333333333334,-50.5],[163.18333333333334,-53.55],[107.36666666666666,-45.61666666666667],[75.6,-19.433333333333334],[77.63333333333334,-16.683333333333334]]
2015-03-09	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20150306-nz05-053061_0.pdf	[[-133.0,-17.0],[-115.0,-14.5],[-93.0,-8.5],[-93.0,-10.5],[-115.0,-16.5],[-133.0,-19.0],[-133.0,-17.0]]
2014-11-13	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20141031-nz22-231239_0.pdf	[[155.0,-46.5],[176.0,-57.0],[172.56666666666666,-60.0],[151.0,-49.25],[155.0,-46.5]]
2014-10-15	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20141017-nz21-225230_0.pdf	[[-93.0,-8.0],[-93.0,-10.0],[-113.0,-15.0],[-133.0,-18.0],[-133.0,-16.0],[-113.0,-13.0],[-93.0,-8.0]]
2014-04-04	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20140404-nz07-085099_0.pdf	[[-93.0,-7.5],[-93.0,-9.5],[-115.0,-16.0],[-133.0,-19.0],[-133.0,-17.0],[-115.0,-14.0],[-115.0,-14.0]]
2014-03-23	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20140321-nz06-075084_0.pdf	[[165.82,-59.71],[-126.02,-57.48],[-122.08,-60.39],[162.56,-62.55],[162.56,-62.55]]
2014-02-14	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20140221-nz04-058063_0.pdf	[[-130.0,-30.0],[-130.0,-50.0],[-160.0,-50.0],[-160.0,-30.0],[-160.0,-30.0]]
2013-11-05	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20131108-nz23-226237_0.pdf	[[-90.0,-7.0],[-90.0,-9.0],[-130.0,-19.0],[-130.0,-17.0],[-130.0,-17.0]]
2013-10-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20131025-nz22-212225_0.pdf	[[-130.0,-30.0],[-130.0,-50.0],[-160.0,-50.0],[-160.0,-30.0],[-160.0,-30.0]]
2013-08-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130802-nz16-162174_0.pdf	[[-167.0,-46.0],[-106.0,-46.0],[-106.0,-53.0],[-155.0,-53.0],[-167.0,-48.45],[-167.0,-48.45]]
2013-08-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130830-nz18-182189_0.pdf	[[-150.0,11.0],[-149.0,11.0],[-149.0,10.0],[-154.75,-16.1],[-155.75,-16.1],[-153.5,0.0],[-151.0,10.0],[-151.0,10.0]]
2013-07-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130705-nz14-141151_0.pdf	[[-93.0,-8.0],[-92.0,-10.0],[-133.0,-19.0],[-133.0,-17.0],[-133.0,-17.0]]
2013-06-05	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130607-nz12-123132_0.pdf	[[-43.45,-144.58333333333334],[-52.483333333333334,-142.2],[-49.38333333333333,-172.76666666666668],[-49.38333333333333,-172.76666666666668]]
2013-06-01	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130621-nz13-133140_0.pdf	[[-139.31666666666666,-48.53333333333333],[-152.53333333333333,-43.05],[-155.26666666666668,-37.166666666666664],[-142.08333333333334,-44.03333333333333],[-105.06666666666666,-50.65],[-100.28333333333333,-52.61666666666667],[-100.28333333333333,-52.61666666666667]]
2013-05-03	https://www.linz.govt.nz/sites/default/files/media/ntm/files/20130510-nz10-094110_0.pdf	[[-33.1,-93.2],[-44.483333333333334,-91.51666666666667],[-44.666666666666664,-88.25],[-44.666666666666664,-88.25]]
